"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","1437759.0","1180626.0","257133.0","115921.0","-25098.0","138685.0","2334.0","1204522.0","886618.0","13135.0","304769.0","2758202.0"
"和歌山市","549891.0","451207.0","98684.0","42358.0","-15873.0","57011.0","1220.0","611959.0","487780.0","4590.0","119590.0","1204207.0"
"海南市","79018.0","65511.0","13507.0","5567.0","-1798.0","7287.0","78.0","85318.0","64886.0","2117.0","18314.0","169903.0"
"橋本市","104979.0","85928.0","19051.0","6375.0","-2727.0","9009.0","93.0","45189.0","26395.0","854.0","17940.0","156543.0"
"有田市","42077.0","34566.0","7510.0","2750.0","-917.0","3628.0","39.0","57476.0","46458.0","911.0","10107.0","102302.0"
"御坊市","34972.0","28210.0","6762.0","3700.0","158.0","3474.0","68.0","22348.0","18796.0","-4319.0","7872.0","61020.0"
"田辺市","108607.0","88708.0","19899.0","13313.0","2412.0","10792.0","109.0","74729.0","52231.0","587.0","21910.0","196648.0"
"新宮市","42122.0","33867.0","8256.0","3380.0","-954.0","4267.0","68.0","37303.0","28464.0","386.0","8453.0","82805.0"
"紀の川市","95696.0","79393.0","16303.0","6620.0","-1864.0","8372.0","113.0","49832.0","29467.0","1289.0","19076.0","152148.0"
"岩出市","79875.0","65960.0","13915.0","5756.0","-1125.0","6840.0","41.0","36414.0","22906.0","1036.0","12472.0","122045.0"
"海草郡_紀美野町","14770.0","12241.0","2529.0","881.0","-418.0","1287.0","12.0","6063.0","2458.0","239.0","3366.0","21715.0"
"伊都郡_かつらぎ町","25650.0","21063.0","4587.0","1839.0","-445.0","2271.0","13.0","14492.0","7818.0","525.0","6150.0","41981.0"
"伊都郡_九度山町","6767.0","5640.0","1127.0","457.0","-165.0","617.0","5.0","2522.0","872.0","197.0","1453.0","9746.0"
"伊都郡_高野町","6466.0","5395.0","1071.0","600.0","-133.0","518.0","215.0","2849.0","1556.0","48.0","1245.0","9914.0"
"有田郡_湯浅町","17684.0","14267.0","3417.0","1657.0","101.0","1537.0","19.0","10559.0","6189.0","-48.0","4418.0","29901.0"
"有田郡_広川町","10003.0","8174.0","1829.0","680.0","-186.0","856.0","9.0","6128.0","3392.0","411.0","2325.0","16811.0"
"有田郡_有田川町","35462.0","29140.0","6322.0","2176.0","-1114.0","3257.0","33.0","26554.0","15216.0","1421.0","9918.0","64192.0"
"日高郡_美浜町","12678.0","10234.0","2444.0","3546.0","2464.0","1079.0","3.0","3404.0","1403.0","14.0","1987.0","19629.0"
"日高郡_日高町","11037.0","9211.0","1826.0","720.0","-284.0","996.0","9.0","4216.0","1844.0","211.0","2161.0","15973.0"
"日高郡_由良町","8972.0","7467.0","1505.0","669.0","-153.0","813.0","9.0","4369.0","2435.0","68.0","1866.0","14010.0"
"日高郡印南町","10846.0","9029.0","1818.0","820.0","-279.0","1088.0","12.0","7673.0","4561.0","429.0","2683.0","19339.0"
"日高郡みなべ町","16617.0","13705.0","2911.0","1218.0","-535.0","1734.0","18.0","12269.0","6849.0","435.0","4985.0","30104.0"
"日高郡日高川町","14410.0","11969.0","2441.0","955.0","-416.0","1349.0","22.0","9677.0","6518.0","349.0","2810.0","25042.0"
"西牟婁郡_白浜町","29452.0","24332.0","5120.0","2407.0","-561.0","2932.0","36.0","27093.0","20953.0","398.0","5743.0","58952.0"
"西牟婁郡_上富田町","22195.0","18100.0","4095.0","1751.0","-292.0","2024.0","19.0","15994.0","11071.0","828.0","4095.0","39940.0"
"西牟婁郡_すさみ町","5764.0","4761.0","1003.0","419.0","-147.0","562.0","4.0","4015.0","2502.0","103.0","1410.0","10198.0"
"東牟婁郡_那智勝浦町","20834.0","17288.0","3546.0","1612.0","-466.0","2046.0","33.0","10824.0","5909.0","8.0","4908.0","33274.0"
"東牟婁郡_太地町","4445.0","3705.0","740.0","317.0","-123.0","432.0","9.0","1723.0","687.0","58.0","979.0","6486.0"
"東牟婁郡_古座川町","3753.0","3104.0","650.0","312.0","-53.0","351.0","15.0","1375.0","511.0","48.0","815.0","5441.0"
"東牟婁郡_北山村","642.0","542.0","100.0","41.0","-19.0","59.0","1.0","356.0","273.0","-16.0","99.0","1039.0"
"東牟婁郡_串本町","22073.0","17909.0","4164.0","3026.0","815.0","2200.0","11.0","11795.0","6218.0","-42.0","5619.0","36895.0"
"海草地区","643679.0","528959.0","114720.0","48806.0","-18089.0","65585.0","1310.0","703341.0","555124.0","6946.0","141270.0","1395824.0"
"那賀地区","175572.0","145353.0","30219.0","12376.0","-2989.0","15211.0","154.0","86246.0","52373.0","2325.0","31548.0","274194.0"
"伊都地区","143861.0","118025.0","25836.0","9270.0","-3470.0","12414.0","326.0","65053.0","36641.0","1624.0","26788.0","218185.0"
"有田地区","105226.0","86148.0","19078.0","7262.0","-2116.0","9278.0","100.0","100718.0","71255.0","2695.0","26768.0","213206.0"
"日高地区","109533.0","89825.0","19708.0","11628.0","954.0","10533.0","140.0","63957.0","42406.0","-2813.0","24364.0","185117.0"
"西牟婁地区","166018.0","135900.0","30118.0","17890.0","1412.0","16310.0","168.0","121831.0","86757.0","1916.0","33158.0","305738.0"
"東牟婁地区","93871.0","76415.0","17456.0","8689.0","-800.0","9354.0","135.0","63376.0","42061.0","442.0","20873.0","165939.0"
